image_id,image_path,blip_caption,blip2_caption,blip_status,blip2_status,blip_error,blip2_error
IMG_4280.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4280.JPG,a bowl of rice and a bowl of meat,a bowl of rice and a pita bread,ok,ok,,
IMG_4293.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4293.JPG,a blue plastic plate,a blue plastic container with cream in it,ok,ok,,
IMG_4296.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4296.JPG,a table with bowls of food and a cup of soup,a table with bowls of food and chopsticks,ok,ok,,
IMG_4318.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4318.JPG,a bowl of blueberries and a spoon of green tea,a bowl of green liquid,ok,ok,,
IMG_4325.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4325.JPG,a stone wall,a rainbow appears over a stone house on a rural road,ok,ok,,
IMG_4357.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4357.JPG,a person walking on a path near a bridge,a person walking along a path near a large bridge,ok,ok,,
IMG_4363.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4363.JPG,a train bridge,the sun shines through the arches of an old stone bridge,ok,ok,,
IMG_4373.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4373.JPG,a table with bowls of food and chops,a table with bowls of food and chopsticks,ok,ok,,
IMG_4379.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4379.JPG,a bowl of food with a wooden spoon,a bowl of food with a wooden spoon on top,ok,ok,,
IMG_4381.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IMG_4381.JPG,a pot of stew with a wooden spoon,a pan with food in it on a stove,ok,ok,,
IOGZ6346.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\IOGZ6346.JPG,a group of people posing for a picture,a group of people posing for a photo on a mountain,ok,ok,,
KYQF0330.JPG,D:\code\vscode\Msc-code\smart-photo-narrative\photos\KYQF0330.JPG,a group of people standing on a hill,a group of people standing on a hill,ok,ok,,
ScreenShot_2026-03-01_201451_891.png,D:\code\vscode\Msc-code\smart-photo-narrative\photos\ScreenShot_2026-03-01_201451_891.png,a woman sitting on the beach with her dog,a woman and her dog sitting on the beach,ok,ok,,
apple.png,D:\code\vscode\Msc-code\smart-photo-narrative\photos\apple.png,a red apple sitting on top of a table,"the book cover for the book, the apple",ok,ok,,
finger.jpg,D:\code\vscode\Msc-code\smart-photo-narrative\photos\finger.jpg,a person ' s hand with a watch on it,a person's hand with a watch on it,ok,ok,,
geograph-8271209-by-DS-Pugh.jpg,D:\code\vscode\Msc-code\smart-photo-narrative\photos\geograph-8271209-by-DS-Pugh.jpg,a train is parked at a station with people walking by,a train on the tracks,ok,ok,,
gradient.png,D:\code\vscode\Msc-code\smart-photo-narrative\photos\gradient.png,a person is holding a game of suda,a sudoku puzzle with numbers on it,ok,ok,,
messi.png,D:\code\vscode\Msc-code\smart-photo-narrative\photos\messi.png,a man kicking a soccer ball on a field,lionel messi wallpaper,ok,ok,,
