idx,photo_id,file,time,query,status
32,16632449-f69e-43f5-9544-3e73a51725c4,IMG_7204.jpg,2026-07-07T05:38,"Aerial view of rocky valley with winding road, green YUNAK balloon bottom left, striped balloons right",query_generation_error
33,1baf8330-2e42-4f3c-a6e2-2afa4190a7f7,IMG_5433.jpg,2026-01-19T15:53,View from inside blue ice cave looking up at bright circular opening with dark debris,ok
34,1c62da0e-ad8d-4bea-a8b9-cb5336666d37,IMG_3732.JPG,2025-09-28T12:05,Cluster of brown radially pleated mushrooms growing in green grass with small slug,ok
35,1e35927e-d82c-4d1f-9776-05ba69af047c,54.jpg,2026-07-11T00:41,Dark green metal fence with rounded tops at night showing motion blur and dry leaves,ok
36,1e6d4b27-2dad-49d9-a057-e8bcf2a021f8,48.jpg,2026-07-10T23:00,Dutch angle view from bed showing black backpack on floor and laptop screen,ok
37,1ffc58b3-3735-4c91-a001-632536e13f29,IMG_3431.JPG,2025-09-16T12:14,Open plan room with dark green leather armchairs and white dining table with bench seating,ok
38,21a6290b-894f-4d97-a919-b1f3f4e36c01,IMG_6697.jpg,2026-04-23T15:40,"Canal view with wooden bridge, orange building, white boat foreground, and Biennale Arte banner",ok
39,2291ec07-46aa-41d5-b833-76338d1784ce,IMG_2685.JPG,2025-08-13T17:13,Person wrapped in light blue towel wearing blue swim cap sitting beside indoor pool with orange lifebuoy on pillar,ok
40,22b76be1-c238-41cb-91b8-66bab64d2733,IMG_6451.jpg,2026-03-30T15:22,Person in black hoodie viewed through stone arch overlooking coastal town and beach,ok
41,22c888ca-88ba-4a6f-9adc-2ad9647c8f68,IMG_6239.jpg,2026-03-28T22:08,Man in black leather jacket and light blue jeans standing before wavy stone building facade,ok
42,22ca39ae-bf22-41a2-bfa4-db4083f25f05,DSCF0644.JPG,2026-01-19T12:03,Silhouetted person holding ice chunk on black sand beach with sunburst,ok
43,23b4836a-78a1-4478-809b-79d53a4a1569,IMG_7148.jpg,2026-07-04T19:56,Suspension bridge silhouette with sun bursting through tower over rippling water and cloudy sky,query_generation_error
44,23bb4ed9-a146-429a-bb5b-0e65d5222a3a,IMG_4795.jpg,2025-12-17T14:30,Weathered grey hooded statue with hands crossed on chest in orange display case,ok
45,24176ee3-9b7e-4680-a54a-f17aebe74575,9.jpg,2026-07-09T19:22,"Office desk with 2025/26 calendar, laptop showing man and woman dining, black mousepad, silver mouse, water bottle",query_generation_error
46,251f913b-febc-4d5b-99b5-eb359f7ec45b,messi.jpg,2023-08-17T15:17,Soccer player in blue and red striped UNICEF jersey kicking yellow ball,ok
47,25d688b6-d2e6-4ec9-810d-569057d631f4,40.jpg,2026-07-10T21:50,"Blurry room with glass wall, colorful dot stickers, and stacked board games on table",ok
48,27373c36-53c3-46a9-aff2-2df31eb9662a,IMG_5714.jpg,2026-01-21T14:29,"Tall grey concrete church with stepped spire, clock faces, cross top, and foreground swing set",ok
49,27750a06-bb2d-493e-91b2-714451237bcd,ScreenShot_2026-03-01_201451_891.jpg,2026-03-01T20:14,Woman in plaid shirt sitting on beach shaking paw with yellow Labrador wearing harness,ok
50,27dda8b7-ec45-4515-b964-97d9d0db037b,IMG_3735.JPG,2025-09-28T12:50,Stone Cow and Calf Cafe building next to white tent with clear plastic walls,ok
51,2903d342-a88f-4adf-9443-74e38a9728d0,IMG_4844.jpg,2025-12-18T12:36,Buckwheat galette with meat sauce and runny egg yolk on wooden board with green juice,ok
52,29b6dfba-745a-443e-a488-5f2b8050fcbe,IMG_6696.jpg,2026-04-23T15:40,Blue and white Polizia Locale boat on canal near white arched footbridge and brick building,ok
53,2a03072b-d4d4-41e5-b230-8402740d09ac,IMG_3996.JPG,2025-10-14T22:31,Blue Tylls crisp bag and green interior Wisconsin mug on desk before laptop,ok
54,2a628711-984a-4fbc-ab9d-0b1e0c75250c,IMG_3605.JPG,2025-09-21T12:56,Blue hatchback and grey pickup truck driving past red brick terraced houses below grassy slope,ok
55,2b3d579b-7fd7-4ec1-a990-11d99a3a47d7,IMG_3626.JPG,2025-09-22T15:38,Two brown rabbits on grass near wooden fence with concrete posts and metal pipes,ok
56,2b8d8f53-6a5e-4db7-96b0-d04f69600fed,IMG_5995.JPG,2026-03-07T14:08,Hand holding Flourish & Joy Pastel Posy bouquet with pink daisies and six pound price tag,ok
57,2bc2a0f0-61b7-41a4-862b-31e64a364b96,IMG_5756.jpg,2026-02-01T09:42,Slice of layered cake with white frosting and green powder ghost face design,ok
58,2cc06afe-2636-4dd4-b52a-8ccdb207c760,IMG_3865.JPG,2025-10-05T17:28,Two ceramic ghost figurines beside York Ghost Merchants box on wood table,ok
59,2da7b9af-4114-4d22-a875-22733ad3cda8,IMG_3597.JPG,2025-09-21T12:39,Stone arch viaduct over river with white rowing boats and closed black umbrella,ok
60,2f690200-500b-4cfb-bf24-50b8738ca9c5,3.jpg,2026-07-09T18:59,Office cubicle desk with 2025/26 calendar and laptop playing Seinfeld,query_generation_error
61,300ca0ee-7f61-4878-8c63-945c39b8ac00,IMG_6485.jpg,2026-03-30T18:10,Man in black hoodie and sunglasses leaning on stone balcony next to standing statue,ok
62,3029efe2-bc02-4e95-ba32-0b76e55b3806,IMG_4379.JPG,2025-11-09T17:31,"Brown ceramic mortar containing beef, green vegetables, fried tofu, and wooden pestle",ok
63,303e0e16-6435-4362-9ec1-4ae33b4150ca,IMG_7072.jpg,2026-07-04T14:56,"Low angle view of a tall cylindrical stone building on a wet cobblestone street corner, flanked by an LC Waikiki sign on the left and an ornate awning with hanging lanterns on the right.",query_generation_error
64,30bb611f-891b-44e0-87c3-48c248ef3f05,IMG_6817.jpg,2026-05-01T10:38,Blue DE1-SoC FPGA development board connected to black Sony headphones via audio cable on light wood floor,ok
65,3130bd1a-19c2-4dc7-81ff-80c1fd1658ba,IMG_3994.JPG,2025-10-14T18:29,Halved avocado on paper towel next to white bowl with dark liquid and water bottle,ok
66,31e9d31e-86db-4456-8cd6-7858e91a6994,IMG_6721.jpg,2026-04-23T16:35,Ornate cathedral facade with five arches framed by three tall red poles against blue sky,ok
67,34381745-9c07-48a0-bf92-6825200fbcc3,IMG_6725.jpg,2026-04-23T16:50,White egret standing on mossy rocks preening with long plume against green rippling water,query_generation_error
68,34e3b064-30c5-4693-9155-6badb006dd5a,IMG_3566.JPG,2025-09-21T10:49,Person in black jacket and white sneakers sitting on bench giving two thumbs up,ok
69,35123b58-a7cf-40a0-8fb2-f82163301b7f,IMG_4139.JPG,2025-10-19T22:24,Open Co-op Seriously Smooth vanilla ice cream tub with piped peaks beside backlit laptop,ok
70,36b6f4ea-e48f-43c0-906c-2506a315f27c,IMG_3717.JPG,2025-09-28T11:29,Person in long white dress with small black backpack shielding eyes on grassy field,ok
71,3afe795e-3cb1-4872-a1a9-9ebc2a269cdc,IMG_3789.JPG,2025-10-01T09:01,White laptop displaying Module Staff page beside black Audi thermos in lecture hall,ok
72,3bd1714f-6d62-4086-a69b-b13b1e36a537,IMG_7230.jpg,2026-07-07T17:48,"Wooden deck with beige lounge chairs, open white and navy umbrella, closed umbrella on left, orange lifebuoy on rope railing overlooking sea",query_generation_error
73,3dcb64e6-e749-4ae0-ae63-db22ef6cdd5b,IMG_5687.jpg,2026-01-20T21:58,Night sky with vertical pink aurora beam and bright lens flare in bottom right corner,ok
74,3dea87f5-9764-4252-92ac-9c51a8fe045c,IMG_5729.jpg,2026-01-17T15:13,Black sign reading Exit to Iceland with left arrow and map outline,ok
75,3f61fdbf-3b0e-412f-9e9b-68896c636a3d,IMG_5108.jpg,2025-12-26T14:08,Taxidermied white sheep standing on straw-covered base inside glass display case with metal posts,query_generation_error
76,3f7257f2-afec-4cd4-8207-a7f92f18ddd8,IMG_6807.jpg,2026-04-30T16:03,Green PCB LCD screen displaying SNAKE game menu with terasic LT24 branding,ok
77,405560df-6f36-4bab-b7b2-9078e7232b0c,IMG_4357.JPG,2025-11-08T14:28,Person in black jacket walking on dirt path toward long stone viaduct with sunburst,ok
78,408fd523-4c21-4a31-84ef-3dad62e34e10,IMG_7233.jpg,2026-07-07T17:52,"High angle view of coastal deck with white canopy, black gazebo, and wooden stairs",ok
79,4180336d-6b38-4915-a48c-7def6f17f797,IMG_6304.jpg,2026-03-30T14:14,Two seagulls standing on rocky sand with water line in background,ok
80,42403971-7fd9-4540-ab5e-65050b91b226,46.jpg,2026-07-10T22:24,Black backpack on floor beside wall-mounted white heater and narrow vertical mirror,ok
81,42991099-b994-4a4e-830c-b6b703f98df6,IMG_6456.jpg,2026-03-30T15:24,View through rough stone window of blue sea with small rocky island and gray rectangular box on patio,query_generation_error
82,42d31dd9-ade5-44dc-a059-3baca948636f,IMG_6473.jpg,2026-03-30T17:45,Stone statue back view overlooking dense city and sea with white BARCELONA letters on terrace below,query_generation_error
83,43e84386-630d-4ef0-9933-75a2a42a03a8,IMG_3730.JPG,2025-09-28T12:03,Upside down selfie of person wearing blue harness and purple sunglasses above valley,ok
84,4543d749-5fb7-4cfc-ac96-7a70da2103f3,IMG_5824.jpg,2026-02-15T10:42,Bare leafless tree with metal guard standing on green lawn before stone building bay window,ok
85,45980745-de4d-48a2-ac01-05720e5fe1a1,IMG_3846.JPG,2025-10-05T11:39,Low angle view of Gothic cathedral facade with dark tree silhouetted on right side,ok
86,4632827c-f6bd-4709-96c3-808fce548b4c,IMG_5562.jpg,2026-01-20T10:32,White church with red steeple near black sand beach and sea stacks,ok
87,46f698e3-fccd-4f39-92be-da63a65e8736,IMG_6977.jpg,2026-06-05T14:17,"White chalk cliffs viewed over a garden of white irises and green bushes, with a small wind turbine on the left hillside.",query_generation_error
88,476c1f26-d1ce-4c93-ba26-663ec4d5021f,IMG_6085.jpg,2026-03-27T16:34,Low angle view of Gothic cathedral facade with crowd on steps and scaffolding on left,ok
89,47a47247-36d8-4b4a-8087-3dc833282765,IMG_6250.jpg,2026-03-30T11:49,Tall cypress trees framing stone steps leading to red-domed seaside gazebo,ok
90,47ad8568-d2ab-4adc-84d6-fa3017a67ea3,IMG_5799.jpg,2026-02-14T15:34,Low angle view of stone building with arched windows beside large bare weeping willow tree,ok
91,47f40bab-54c4-4cdf-bb1f-f9cc671b2ed9,IMG_7167.jpg,2026-07-05T20:25,Black curved street lamp on rooftop overlooking twilight town with large conical rock formation,ok
92,4b7e8166-32f1-4115-bd63-7421b4014022,IMG_4605.jpg,2025-12-16T14:02,Low angle view of winged female sculpture holding sword above soldiers on stone arch,ok
93,4bf6cae2-c4de-4cc2-86db-d40be5ea40dd,2.jpg,2026-07-09T18:57,"Desk with purple 2025/26 calendar, laptop showing blonde woman on ABC News, two water bottles, and silver mouse on black mat",query_generation_error
94,4e3c874e-2719-4b07-b241-48b332c55b55,DHBP1187.JPG,2025-08-13T11:56,"Rotated dim sum table featuring bamboo steamers, black cupcakes, and white dumplings with broccoli",ok
95,4f236585-dd5a-479e-bb7e-0ca98da7227c,IMG_3624.JPG,2025-09-22T15:37,Three brown rabbits on green grass near a wooden fence with concrete posts,ok
96,519be45f-a557-4be6-80df-753d415b3fcd,IMG_4878.jpg,2025-12-18T16:15,Hand holding smartphone displaying summer tree-lined path against background of bare winter trees,ok
97,5417574b-bd16-4755-9467-3a58b5159e18,24.jpg,2026-07-10T16:27,Low angle view from textured yellow sofa looking toward blue curved couch and pink Unipol Donation Station screen,query_generation_error
98,547b5ec7-4562-4189-80ca-df92b4ffaf3b,IMG_3760.JPG,2025-09-28T16:01,Four mallard ducks swimming in shallow river with visible rocky bottom,ok
99,555a91f9-6223-4059-a293-0fce6ad5a9c1,IMG_6935.jpg,2026-05-29T16:53,Unfused perler bead pixel art of bearded man in blue coat waving on pegboard,ok
100,561c1a41-234b-4407-bb98-74c62b8a68c2,IMG_4159.JPG,2025-10-23T09:56,Golden brown croissant on white plate beside small Yakult bottle with red foil cap,ok
101,57acd77b-ff5d-4d99-ab4f-1b5f3a1f49cd,IMG_6083.jpg,2026-03-27T14:42,"Rectangular metal tray of seafood paella with large prawns, mussels, and four white dollops",ok
102,5898d910-9df9-4df3-a8f4-1ee086de4f0f,IMG_6820.jpg,2026-05-01T10:39,Black Sony headphones connected via audio jack to DE1-SoC F36 FPGA development board with white USB cable on wood,query_generation_error
103,59660de8-373f-4432-8045-ac8bb0a0b373,IMG_5686.jpg,2026-01-20T21:48,Green aurora borealis bands above dark horizon with blurred road guardrail and purple lens flare,ok
104,59b9e64e-1e39-44d1-85e9-802aea3fab06,IMG_6130.jpg,2026-03-27T20:28,Glass with ice and purple flowers next to FOCO bottle and striped straw,ok
105,5a6309a6-7169-418b-b165-007af67b3159,IMG_6655.jpg,2026-04-22T14:03,Hand holding white card with red MAGNET label and Creation of Adam hands,ok
106,5a63d00a-3855-4a9b-a0a4-f9faebe5fcef,IMG_3618.JPG,2025-09-22T11:44,"KFC meal tray with Pepsi cup, signature fries packet, and two fried chicken pieces",ok
107,5ce18d0c-4df9-4937-97ce-e63a096dd2fd,IMG_3589.JPG,2025-09-21T11:09,Stone arch viaduct spanning river with rowboats moored in foreground and hillside town buildings,query_generation_error
108,5d5af1a9-8f05-49e8-b039-e89dd28228c4,apple.jpg,2023-08-19T07:24,Red apple with two bright highlights resting on a yellow pencil against green background,ok
109,5d818024-bd9a-46d7-bd90-ee37b3ec5fb7,IMG_6216.jpg,2026-03-28T16:36,Low angle interior view of faceted stone columns with red and green stained glass windows above a black ribbon railing,query_generation_error
110,5ebe2426-672b-42d4-bf15-f7bf99df9a69,IMG_3606.JPG,2025-09-21T13:08,Town square with central stone Celtic cross monument surrounded by benches and bronze statues,ok
111,5f9950c1-0229-48dd-8970-a749bdd391a5,IMG_5254.jpg,2026-01-18T14:34,Three Icelandic horses in muddy field with silver trough and distant highway,ok
112,615da437-d0d9-4b6b-8bd5-88138a6eb0fb,IMG_5255.jpg,2026-01-18T14:34,Three Icelandic horses standing on dry grass next to a silver metal trough,ok
113,62419d85-161f-4c3d-88a6-40beb3572dcf,IMG_7065.jpg,2026-07-04T10:51,Interior with blue gold embroidered sarcophagi red carpet white turbans stained glass,ok
114,6259fe71-41c8-4fdf-9970-65ae8f25368a,57.jpg,2026-07-11T14:22,Low angle shot of wood grain table surface with white paper towel roll on right and hallway background,query_generation_error
115,64e62359-4484-44ba-ab28-adac384e70b6,IMG_5136.JPG,2026-01-02T13:12,Roasted chicken inside crinkled aluminum foil with white wine bottle visible,ok
116,64edb31f-ca8e-4701-a8e7-a5827f9d8286,IMG_6474.jpg,2026-03-30T17:46,Stone spire with spherical finials flanked by two robed statues overlooking forested hills,ok
117,657d988b-853a-425e-8e25-14418c64a90a,IMG_8989.jpg,2026-07-04T19:04,Two-minaret mosque behind bridge with white bus and red Coca-Cola umbrella,ok
118,66105754-421c-4508-b77b-a812815e2d46,IMG_3979.JPG,2025-10-13T16:22,Open spiral notebook with hand-drawn full-bridge DC-DC converter circuit diagrams and red handwritten notes on a light blue desk next to a black mouse and printed worksheet with a pen.,query_generation_error
119,66316c0c-70f9-4225-b50b-b31a4030d4e1,DSCF0009.JPG,2025-12-16T12:01,Arc de Triomphe framed by bare winter trees with person running and white box truck,ok
120,66c33c06-1ab7-424d-9770-a600144da967,155.jpg,2026-07-12T21:50,"First-person view of a silver laptop on a black mat, with a hand using a mouse, a glass of orange juice, and a paper towel roll on the left.",query_generation_error
121,66f5a68d-c849-4087-8d34-9af6cfe82b24,23.jpg,2026-07-10T16:25,Low angle view from textured beige sofa showing blue curved couch and pink Unipol Donation Station screen,query_generation_error
122,68b33732-5efa-4df8-8de4-7f424a46a012,IMG_6215.jpg,2026-03-28T16:36,Low angle view of faceted stone columns with red and green stained glass windows,ok
123,6a27138a-3404-4cb4-bfbd-af8fecfbda51,29.jpg,2026-07-10T17:17,Low angle shot of smartphone and silver USB hub on wooden desk with bed background,ok
124,6b3ac07e-e8e6-47ca-9411-d120309d1997,64.jpg,2026-07-11T14:33,Hand holding yellow sponge at sink next to blue rice cooker and green dish soap,ok
125,6b6097c3-45d0-497f-bfc3-1d24ecf02ec3,DSCF0543.JPG,2025-12-25T15:48,Rotated vertical street view of stone building with blue scaffolding and hanging snowflake lights,ok
126,6b836ed8-7ed6-42e7-b863-6e49c7ee61b8,finger.jpg,2023-08-22T16:24,Left hand with six fingers wearing blue smartwatch displaying 282 on white surface,ok
127,6bcba9ec-c7b5-4b76-b768-ec1306980307,IMG_5340.jpg,2026-01-19T11:48,Scattered translucent ice chunks on black sand under golden sunset sky,ok
128,6c0fdd89-b437-4108-851e-7d587d031962,IMG_4721.jpg,2025-12-16T15:42,Silhouetted Eiffel Tower behind sun with boat roof and birds in foreground river,ok
129,6d2f2d93-e83f-4b16-9dd5-3e4c3eb38c99,IMG_3650.JPG,2025-09-24T09:58,Lecture hall view showing student in white FILA hoodie and blue backpack with yellow zippers,ok
130,6f2a8871-e6a8-43c4-ac58-bbdf7cef2fed,IMG_7340.jpg,2026-03-27T18:46,Top-down view of two people standing on gray square tiles with embossed four-petal flower patterns.,ok
131,705b3b42-0130-46ce-b064-70a170f83433,IMG_3535.JPG,2025-09-21T09:06,"Street view with purple Rose Bowl sign, white church spire, and domed clock tower",ok
132,7093b988-05b2-4e58-ba0e-88ea6d8afdc8,IMG_3642.JPG,2025-09-23T14:39,"High-angle view of a grand arcade with a white lattice glass dome, colorful arched shop doors on the upper balcony, and a central circular staircase surrounded by cafe tables.",query_generation_error
133,70f7f639-2b36-4ea8-b75c-4038c430e966,IMG_4231.JPG,2025-10-28T15:09,"Lecture hall with curved ceiling lights, three stability analysis screens, white hoodie student, foreground laptop",ok
134,71373b64-86dc-4605-946c-a0c879166e87,IMG_3591.JPG,2025-09-21T11:10,Row of cream wooden rowing boats moored beside dark building with stone viaduct background,ok
135,71f524fc-f6e0-4f09-b0b1-3dd29de378b6,IMG_3712.JPG,2025-09-28T11:18,Group wearing green orange and yellow helmets climbing on large grey boulders near heather,ok
136,72bb70ef-8b44-4099-81c9-929b8341cf19,IMG_4738.jpg,2025-12-16T17:11,Low angle view of illuminated Eiffel Tower at dusk with bare tree branches silhouetted on the left side,query_generation_error
137,733a8052-96a6-4576-9ecc-1994e1be17ff,IMG_3402.JPG,2025-09-15T02:22,Two black suitcases on bed near desk with under-cabinet LED strip and gray acoustic panels,ok
138,746ca87c-3828-4b74-bc28-c3110776bfb3,IMG_4318.JPG,2025-11-07T22:29,White bowl of green liquid with blueberries and spoon in front of grey laptop,ok
139,7721b9d0-9e5f-42db-9bc2-e0aba5355ac3,IMG_3585.JPG,2025-09-21T10:56,Rotated photo of man with blue patterned backpack leaning on railing overlooking stone arch bridge,ok
140,77873ed2-4202-44ff-99f6-e4c2d5281af1,IMG_6305.jpg,2026-03-30T14:14,"Two seagulls on sandy beach, one looking up with open beak, pigeon below",ok
141,7bb0c6eb-d8a4-4a2b-83fd-94bd4a7d5a9a,IMG_6645.jpg,2026-04-22T12:16,Marble relief panel with four theatrical masks on pedestal labeled 19,ok
142,7c9208f6-daf5-41f7-a7c7-bd920eb8a51b,ba075670b54cd633162582b8f8aee7f1.JPG,2026-01-20T09:48,Vertical purple aurora beams with green tip and faint yellow horizon glow,ok
143,7d815437-022b-4e66-a8fa-6454bdbc5a08,IMG_4953.jpg,2025-12-20T15:55,Stack of eight plastic meal prep containers with brown sauce next to a blue patterned bowl with chopsticks and a Haden induction hob,query_generation_error
144,7dd03d88-dcb6-44f6-a62c-d54d8c865551,IMG_6654.jpg,2026-04-22T13:02,Ornate vaulted ceiling frescoes above large battle mural with horses crossing river,ok
145,7eb8d312-bc5e-4233-a20e-9be1c930cb5b,IMG_5414.jpg,2026-01-19T15:36,Close-up texture of fractured blue ice with scattered dark specks and white crystalline patterns,ok
146,802753f1-429c-4b78-8ba0-6ca44866a86c,IMG_6307.jpg,2026-03-30T14:14,"Sandy beach with white waves, rocky island on left horizon, and distant boat on right",ok
147,811baf55-c8fe-4434-aee5-000ac5236c53,38.jpg,2026-07-10T21:21,Low angle view of scattered LEGO Minifigure Puzzle pieces on wood grain table with box,ok
148,81c08ca9-fcd3-4337-a286-9041c7acc7eb,IMG_3739.JPG,2025-09-28T13:54,Four-topping pizza with pepperoni and olives beside skillet wings and Coca-Cola glass,ok
149,81cb4867-f6b9-44fb-ae02-42a6e811c3b9,IMG_3917.JPG,2025-10-09T10:37,"Three screens displaying inverse Laplace transform notes, green patterned mug, and handwritten notebook with pen",ok
150,829ca0b8-2035-42b2-b8e4-333649fe6825,IMG_E3714.JPG,2025-09-28T11:24,Carved stick figure on gray stone with D shaped head and 98 body,ok
151,82d677ad-8e68-4e61-b879-7cb8fcbc80b5,IMG_4280.JPG,2025-11-03T11:13,Beige bowl with curry and rice next to naan in serrated paper wrapper,ok
152,8653a9ab-ef6e-4244-b4cd-4790e2f0b8c1,DSCF0390.JPG,2025-12-24T15:07,Large illuminated EDINBURGH sign on grassy slope with white snowflake barrier and striped helter-skelter,ok
153,87fb0349-0151-4d29-8107-14eee920f05f,IMG_3620.JPG,2025-09-22T14:48,Hand holding cheese pizza slice in white napkin with blurred brick building background,ok
154,8a11f74a-bc08-4a8d-9ad0-718b7809f29a,IMG_4809.jpg,2025-12-17T15:03,Small framed portrait painting centered inside large glass display case with wooden base,ok
155,8b5e3a12-c49a-4069-a25e-978ca1aec83b,IMG_6118.jpg,2026-03-27T17:04,Photomosaic portrait of smiling face composed of small reddish-orange square tiles with blue eye patch,ok
156,8c82dbd1-852d-44a8-beae-400e4e1aa509,IMG_5109.jpg,2025-12-26T14:08,Taxidermied white sheep standing on straw inside glass display case with brick wall background,ok
157,8dc19a3e-21e9-4f78-aff9-578fdd9acae0,IMG_4381.JPG,2025-11-10T10:09,Black frying pan on induction hob containing bean stew with sliced sausages and wooden spatula,ok
158,8e33ff57-422c-4667-8947-77280cc0840f,IMG_4013.JPG,2025-10-17T13:27,Red Bull can beside Tesco Falafel box and plastic fruit container with fork,ok
159,9019c9c4-9f94-4b34-988b-4b9751db3d41,IMG_6653.jpg,2026-04-22T13:02,Ornate frescoed ceiling with illusionistic architecture above a large wall mural depicting a chaotic battle scene with horses and soldiers crossing a river.,query_generation_error
160,909bbe99-db30-4ca7-a9e9-4af4e149c0f0,IMG_5380.jpg,2026-01-19T14:58,Dark rippled ice sheet with deep diagonal crevasse under cloudy sky,ok
161,90cb7a9f-bd4e-4dd1-94be-5d67aee60ae5,IMG_3690.JPG,2025-09-26T17:31,Restaurant interior with two older men eating at blue table and woman in denim jacket,ok
