idx,photo_id,file,copied_as,status,word_count,attempts,repair_used,query
109,5d818024-bd9a-46d7-bd90-ee37b3ec5fb7,IMG_6216.jpg,109_IMG_6216.jpg,query_generation_error,20,2,True,Low angle interior view of faceted stone columns with red and green stained glass windows above a black ribbon railing
114,6259fe71-41c8-4fdf-9970-65ae8f25368a,57.jpg,114_57.jpg,query_generation_error,18,2,True,Low angle shot of wood grain table surface with white paper towel roll on right and hallway background
118,66105754-421c-4508-b77b-a812815e2d46,IMG_3979.JPG,118_IMG_3979.JPG,query_generation_error,15,2,True,Two laptops beside handwritten circuit diagrams while a hand writes notes on a printed worksheet
120,66c33c06-1ab7-424d-9770-a600144da967,155.jpg,120_155.jpg,query_generation_error,14,2,True,"Laptop showing code beside orange juice, a sandwich, smartphone, and hand using a mouse"
121,66f5a68d-c849-4087-8d34-9af6cfe82b24,23.jpg,121_23.jpg,query_generation_error,17,2,True,Low angle view from textured beige sofa showing blue curved couch and pink Unipol Donation Station screen
132,7093b988-05b2-4e58-ba0e-88ea6d8afdc8,IMG_3642.JPG,132_IMG_3642.JPG,query_generation_error,14,2,True,Indoor market hall beneath curved glass roof with rows of brightly colored arched shopfronts
136,72bb70ef-8b44-4099-81c9-929b8341cf19,IMG_4738.jpg,136_IMG_4738.jpg,query_generation_error,18,2,True,Low angle view of illuminated Eiffel Tower at dusk with bare tree branches silhouetted on the left side
143,7d815437-022b-4e66-a8fa-6454bdbc5a08,IMG_4953.jpg,143_IMG_4953.jpg,query_generation_error,14,2,True,"Kitchen counter with stacked takeaway containers, whole onion, patterned bowl, chopsticks, and induction hob"
159,9019c9c4-9f94-4b34-988b-4b9751db3d41,IMG_6653.jpg,159_IMG_6653.jpg,query_generation_error,14,2,True,Upward view of ornate vaulted ceiling covered with crowded frescoes and geometric painted arches
174,973f4d73-23e2-431e-a295-ad940430928c,IMG_6455.jpg,174_IMG_6455.jpg,query_generation_error,14,2,True,"Sea view framed by rough stone opening, with pine branches and a rocky islet"
176,9adc667d-70c4-414b-a8b0-c1ae46956129,IMG_3849.JPG,176_IMG_3849.JPG,query_generation_error,13,2,True,"Wooden platter piled with grilled steak, chicken, sausages, fries, flatbread, and white dips"
199,a8eacbf7-6533-4cc8-b3b7-52c20b6395d2,IMG_7206.jpg,199_IMG_7206.jpg,query_generation_error,20,2,True,Aerial view of rocky fairy chimney landscape with winding road and hot air balloons including one with vertical black stripes
206,ae4ac1f7-b7da-42cb-befa-a3f7cbb9fd81,IMG_6660.jpg,206_IMG_6660.jpg,query_generation_error,15,2,True,Seagull perched atop a veiled stone statue with clasped hands and a large dome behind
210,b0bbea12-0cca-4a09-a7cc-c01460fa8064,IMG_3691.JPG,210_IMG_3691.JPG,query_generation_error,15,2,True,Glazed sliced roast duck served over white rice beside chopped scallions on a white plate
228,c16fb33a-c3bb-42f9-a971-d298f43ed7b9,IMG_2671.JPG,228_IMG_2671.JPG,query_generation_error,14,2,True,Bright green steamed buns and sauced dishes fill bamboo baskets beside purple square pastries
231,c61663c8-02c5-4c3b-911e-b4d0353f88c5,62.jpg,231_62.jpg,query_generation_error,15,2,True,Overhead hands spoon red canned food onto buttered bread beside a sink and margarine tub
240,cea22c4d-48dd-4ab6-9e6e-2e547e3cea49,IMG_6659.jpg,240_IMG_6659.jpg,query_generation_error,13,2,True,Veiled stone statue in profile overlooks a domed basilica beyond a tree-lined street
244,d16549e1-0265-4f00-adc1-898f393b15c9,DSCF0619.JPG,244_DSCF0619.JPG,query_generation_error,16,2,True,Wide horseshoe waterfall cascading over dark layered basalt cliffs into turbulent white water under overcast sky
248,d30676ee-1ccc-490e-b8d0-1d19f4487d62,IMG_4606.jpg,248_IMG_4606.jpg,query_generation_error,17,2,True,Low angle view of winged female sculpture holding sword aloft on stone arch pillar against blue sky
249,d5370587-2cf2-4ee7-a307-fb2f98d715a2,DSCF0098.JPG,249_DSCF0098.JPG,query_generation_error,19,2,True,Low angle view of white stone relief sculpture on arch pillar featuring winged figure holding spears against blue sky
253,dde4970f-ae07-4418-89ab-73dd0fcd2f09,IMG_3635.JPG,253_IMG_3635.JPG,query_generation_error,14,2,True,Hand uses red tongs behind glass above metal buffet trays of meat and vegetables
268,e483e43e-3fa3-438d-b60c-5bd473c84e5f,IMG_6578.jpg,268_IMG_6578.jpg,query_generation_error,13,2,True,Man in red cap and plaid shirt standing on cobblestones before Pantheon columns
274,ec884230-1eac-41e1-86a1-2957d167e388,IMG_2699.JPG,274_IMG_2699.JPG,query_generation_error,15,2,True,Blurred multilane road beneath an orange sunset with curved streetlights and a round speed sign
278,ee8431a3-3f7c-4484-88b2-16e790aa13e5,152.jpg,278_152.jpg,query_generation_error,15,2,True,Hands type on a laptop showing a dark chat window beside orange juice and eyeglasses
282,f17e8a3c-0f19-43c5-ac32-7dec96d4d9da,IMG_4260.JPG,282_IMG_4260.JPG,query_generation_error,15,2,True,Opened Budweiser can with newspaper print design sitting on grey mousepad next to laptop keyboard
285,f25b9b63-ddbb-4c51-8708-45ad9bd919c0,6.jpg,285_6.jpg,query_generation_error,15,2,True,Convertible laptop plays a subtitled television scene beneath a colorful wall calendar beside a mouse
288,f59a3018-d1a4-4db7-897d-721b0208a819,IMG_6137.jpg,288_IMG_6137.jpg,query_generation_error,16,2,True,Hand holding square black Gaudi Barcelona stained glass souvenir against blurred city buildings and blue sky
299,ffd5216c-cf0d-48d3-abce-30972e95d146,IMG_6758.jpg,299_IMG_6758.jpg,query_generation_error,19,2,True,Giant white brain sculpture decorated with colorful flowers on a pedestal reading YOUR BRAIN WHEN YOU BELIEVE IN YOURSELF
